 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
CISS_1_244B2207551B8950,1573311894786,,,,,,,12,-36,13,,,,,
CISS_1_244B2207551B8950,1573311894786,,,,-3,1,-1,,,,,,,,
CISS_1_244B2207551B8950,1573311894885,706,308,-687,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894885,,,,,,,12,-38,10,,,,,
CISS_1_244B2207551B8950,1573311894886,,,,-1,1,0,,,,,,,,
CISS_1_244B2207551B8950,1573311894969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311894969,,,,,,,,,,,,47.84,,
CISS_1_244B2207551B8950,1573311894969,,,,,,,,,,,1006.34,,,
CISS_1_244B2207551B8950,1573311894969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311894984,716,302,-718,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894985,,,,,,,13,-37,14,,,,,
CISS_1_244B2207551B8950,1573311894986,,,,-5,0,2,,,,,,,,
CISS_1_244B2207551B8950,1573311895084,712,314,-694,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895085,,,,,,,9,-37,15,,,,,
CISS_1_244B2207551B8950,1573311895085,,,,0,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311895184,706,320,-706,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895184,,,,,,,13,-39,13,,,,,
CISS_1_244B2207551B8950,1573311895185,,,,4,0,-2,,,,,,,,
CISS_1_244B2207551B8950,1573311895283,714,283,-735,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895284,,,,,,,12,-38,19,,,,,
CISS_1_244B2207551B8950,1573311895284,,,,19,0,1,,,,,,,,
CISS_1_244B2207551B8950,1573311895383,691,203,-745,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895384,,,,,,,12,-40,15,,,,,
CISS_1_244B2207551B8950,1573311895384,,,,58,-13,5,,,,,,,,
CISS_1_244B2207551B8950,1573311895482,679,56,-745,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895483,,,,,,,10,-43,19,,,,,
CISS_1_244B2207551B8950,1573311895484,,,,58,-6,8,,,,,,,,
CISS_1_244B2207551B8950,1573311895582,657,-29,-827,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895583,,,,,,,10,-46,29,,,,,
CISS_1_244B2207551B8950,1573311895583,,,,105,-16,-1,,,,,,,,
CISS_1_244B2207551B8950,1573311895681,663,-83,-827,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895682,,,,,,,9,-47,34,,,,,
CISS_1_244B2207551B8950,1573311895683,,,,75,-7,0,,,,,,,,
CISS_1_244B2207551B8950,1573311895781,657,-247,-772,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895782,,,,,,,10,-45,44,,,,,
CISS_1_244B2207551B8950,1573311895782,,,,65,-5,2,,,,,,,,
CISS_1_244B2207551B8950,1573311895881,642,-417,-706,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895882,,,,,,,9,-43,56,,,,,
CISS_1_244B2207551B8950,1573311895882,,,,144,-27,0,,,,,,,,
